nama,rating,tanggal,ulasan,nama_hotel,kota
Windy R. A. P.,6.7,15 Oct 2019,"I took the large room (superior) in 2nd floor, I came late night around 12.30 pm, the lightening in the 2nd floor was not enough I think so it kinda make me scare a bit as I came very midnight. The room was on the corner and very spacious but also very empty, there were no big mirror or sofa, so I feel like there is a big hole in this room. The household furnishing and bathroom design is quite old style I think. My room has a big balcony also which is nice and you can dry your clothes there as it faces the sun, this balcony also was huge, I think about 4-5 people can be up there. Breakfast was very very basic also I think, if you are in a hunger mode I supposed you will need to find extra food outside. The staffs were helpful and friendly, and the location was very strategic I like it. Nevertheless although I am not very happy with my room because I feel hollow and a little bit spooky I will not protest much as the price is also cheap, you get what you paid I must say. I took this also because I had to came midnight and in the morning checkout again for an event so I do not want to waste such money for a short time stay. Maybe try the other room and it will be better!",abian harmony hotel,Bali
Loisa M. P.,8.6,02 Oct 2019,"We, family of 4 enjoyed staying here, they are some good and not that good things. The good side are, big family room to accommodate the 4 of us, for breakfast they'll give you menu to choose from and some buffet (not much but enough). They changed the menus every Thursday. Not very good: the room is quite old, some leaking pipe and during our stay there the repairment took place, very noisy and dusty. The menu wise we need to pay for bacon, which is 17 thousand rupiah per slice?",abian harmony hotel,Bali
Ida B. G. D. W.,8.5,15 Mar 2019,Quiet place and calming hotel very satisfying,abian harmony hotel,Bali
Ida B. G. D. W.,9.1,15 Mar 2019,Good hotel. Quiet and nice to stay there.,abian harmony hotel,Bali
I Made R. P. I.,9.4,30 Aug 2018,"The room is cozy not to big but not to small, the balcony is great with a nice chair. such quite place and nice place to be for take a rest",abian harmony hotel,Bali
JONI,5.8,04 Aug 2018,Not as seen in the photos. Rooms need maintenance,abian harmony hotel,Bali
Handy W. S.,6.2,17 Jul 2018,Water damaged wall and bad shower room.,abian harmony hotel,Bali
TIMOTHEUS B.,9,10 Jul 2018,"Good place, but the price is too much with a quality like that.",abian harmony hotel,Bali
Cynthia T.,9,25 Jun 2018,Hospitality was friendly although one waitress on the resto makes an gesture who make me not comfortable while i eat breakfast and taste of food was plain either. Room very comfort for family w babies. Not trying pool but our nephew really like it and the cleanses of bathroom and room was standard good. A lot shopping spots and resto near hotel. It's good for enjoying resting in the night not for all day. I choose staying again without booked an breakfast next time.,abian harmony hotel,Bali
Rudy K.,9.3,21 Jun 2018,"best room, clean bathroom & toilet, near beach",abian harmony hotel,Bali
Andrie D. N.,9.7,18 Jun 2018,"Big room, clean, cheap, friendly staff, location is great, near the beach.",abian harmony hotel,Bali
john B.,8.5,25 May 2018,"ok comfortable, nearer to our destination",abian harmony hotel,Bali
Meina,9.1,07 May 2018,"I love the place, i love the facility, i love the service.",abian harmony hotel,Bali
Ida B. G. D. W.,9.1,15 Mar 2019,Good hotel. Quiet and nice to stay there.,abian harmony hotel,Bali
I Made R. P. I.,9.4,30 Aug 2018,"The room is cozy not to big but not to small, the balcony is great with a nice chair. such quite place and nice place to be for take a rest",abian harmony hotel,Bali
JONI,5.8,04 Aug 2018,Not as seen in the photos. Rooms need maintenance,abian harmony hotel,Bali
Handy W. S.,6.2,17 Jul 2018,Water damaged wall and bad shower room.,abian harmony hotel,Bali
TIMOTHEUS B.,9,10 Jul 2018,"Good place, but the price is too much with a quality like that.",abian harmony hotel,Bali
Cynthia T.,9,25 Jun 2018,Hospitality was friendly although one waitress on the resto makes an gesture who make me not comfortable while i eat breakfast and taste of food was plain either. Room very comfort for family w babies. Not trying pool but our nephew really like it and the cleanses of bathroom and room was standard good. A lot shopping spots and resto near hotel. It's good for enjoying resting in the night not for all day. I choose staying again without booked an breakfast next time.,abian harmony hotel,Bali
Rudy K.,9.3,21 Jun 2018,"best room, clean bathroom & toilet, near beach",abian harmony hotel,Bali
Andrie D. N.,9.7,18 Jun 2018,"Big room, clean, cheap, friendly staff, location is great, near the beach.",abian harmony hotel,Bali
john B.,8.5,25 May 2018,"ok comfortable, nearer to our destination",abian harmony hotel,Bali
Meina,9.1,07 May 2018,"I love the place, i love the facility, i love the service.",abian harmony hotel,Bali
Garry G.,6.3,06 May 2018,"Wait about 30 minutes while check-in.. when we are the hotel the aircon is not working.. the mechanic try to repair for about and hour so we can't get any rest.. finally ask for the new room and wait for another 30 minutes.. the towel is very dirty, not white in color is grey.",abian harmony hotel,Bali
juzt e.,9.7,26 Apr 2018,"Every time I go to Bali, I always stay in Abian Harmony because their place is very nice  to go...",abian harmony hotel,Bali
Kris S.,9.4,22 Apr 2018,great.. please bath room. exhaust fan keep it on 👍,abian harmony hotel,Bali
Qissera E. T.,9.4,08 Apr 2018,"I stayed in Abian Harmony for 3 nights.
The location was perfect, very strategic, easy to be found, near to the beach.
The reception was friendly and warm. 
They upgraded my room, from standard superior to family room so spacious with balcony. 
They have several bikes that can be used for free, super fun way to explore Sanur.
The only thing is that since I guess the hotel itself is not new and has lack of maintenance somehow you can smell the unpleasant odor of an old hotel. The towels are clean but smell. Also the bathroom smells so bad! I believe they need to renew the structure.",abian harmony hotel,Bali
Karin N. D.,9.1,28 Mar 2018,A great hotel. nice place to stay,abian harmony hotel,Bali
Tito Y.,8.5,14 Mar 2018,The holel was good. I love the room and the swimming pool. The location is good as well. Will come back for sure,abian harmony hotel,Bali
Manik A.,9.7,13 Mar 2018,We thought they've upgraded our room to be a bigger which is so loved it. Overall is good and felt homey,abian harmony hotel,Bali
Candrika A. T.,8.6,14 Jan 2018,"Pros: Cheap. Room is clean and spacious. Staffs are helpful and friendly. Cons: The towel is dirty and greyish. The hotel is only 10 mins walk from the beach, however it's not one of those pretty beaches you can spend hours to sit/ suntanning/ enjoy. The shore line is near with a lot of boats parking. Didn't see any tourist sitting or playing on the beach. Spend two nights in the hotel and have to go to the reception three times because the room key wasn't working. Happened to get a room at level 3 with no lift, so need to take a lift to level 2 and climb the stair. Dark corridor. Conclusion: It's pretty decent for the price I paid for the room. If you need a space just to spend the night, it's the right place. But if you are for holiday, wants a bit more extra comfort, plan to spend a lot of time enjoying the beach, I'd recommend to look for other place.",abian harmony hotel,Bali
Manik A.,8.5,28 Dec 2017,All good. The room spacious. Food are good (nasi goreng),abian harmony hotel,Bali
wisnu d.,6.1,09 Nov 2017,Just stay for one night and check-out in the morning,abian harmony hotel,Bali
Garry G.,6.3,06 May 2018,"Wait about 30 minutes while check-in.. when we are the hotel the aircon is not working.. the mechanic try to repair for about and hour so we can't get any rest.. finally ask for the new room and wait for another 30 minutes.. the towel is very dirty, not white in color is grey.",abian harmony hotel,Bali
juzt e.,9.7,26 Apr 2018,"Every time I go to Bali, I always stay in Abian Harmony because their place is very nice  to go...",abian harmony hotel,Bali
Kris S.,9.4,22 Apr 2018,great.. please bath room. exhaust fan keep it on 👍,abian harmony hotel,Bali
Qissera E. T.,9.4,08 Apr 2018,"I stayed in Abian Harmony for 3 nights.
The location was perfect, very strategic, easy to be found, near to the beach.
The reception was friendly and warm. 
They upgraded my room, from standard superior to family room so spacious with balcony. 
They have several bikes that can be used for free, super fun way to explore Sanur.
The only thing is that since I guess the hotel itself is not new and has lack of maintenance somehow you can smell the unpleasant odor of an old hotel. The towels are clean but smell. Also the bathroom smells so bad! I believe they need to renew the structure.",abian harmony hotel,Bali
Karin N. D.,9.1,28 Mar 2018,A great hotel. nice place to stay,abian harmony hotel,Bali
Tito Y.,8.5,14 Mar 2018,The holel was good. I love the room and the swimming pool. The location is good as well. Will come back for sure,abian harmony hotel,Bali
Manik A.,9.7,13 Mar 2018,We thought they've upgraded our room to be a bigger which is so loved it. Overall is good and felt homey,abian harmony hotel,Bali
Candrika A. T.,8.6,14 Jan 2018,"Pros: Cheap. Room is clean and spacious. Staffs are helpful and friendly. Cons: The towel is dirty and greyish. The hotel is only 10 mins walk from the beach, however it's not one of those pretty beaches you can spend hours to sit/ suntanning/ enjoy. The shore line is near with a lot of boats parking. Didn't see any tourist sitting or playing on the beach. Spend two nights in the hotel and have to go to the reception three times because the room key wasn't working. Happened to get a room at level 3 with no lift, so need to take a lift to level 2 and climb the stair. Dark corridor. Conclusion: It's pretty decent for the price I paid for the room. If you need a space just to spend the night, it's the right place. But if you are for holiday, wants a bit more extra comfort, plan to spend a lot of time enjoying the beach, I'd recommend to look for other place.",abian harmony hotel,Bali
Manik A.,8.5,28 Dec 2017,All good. The room spacious. Food are good (nasi goreng),abian harmony hotel,Bali
wisnu d.,6.1,09 Nov 2017,Just stay for one night and check-out in the morning,abian harmony hotel,Bali
Jessica X.,10,29 Sep 2017,"The room very big, swimming pool clean and there was kids room for my baby to playing",abian harmony hotel,Bali
Ayu S. I.,9.1,24 Sep 2017,Thank you for the great smile and lovely french toast!,abian harmony hotel,Bali
Shelly I.,6.1,06 Sep 2017,"Small restaurant, outside staff closer to parking area very annoyed and looks like monster when ask tips with his fierce face....unbeliavable hotel employ such monster...our room unlucky located just 2nd floor close to security area which sometimes noise come...room actually big and nice...hope they fix that problems",abian harmony hotel,Bali
Maria K.,10,05 Sep 2017,Homey clean good location and nice food around the area,abian harmony hotel,Bali
Chrysta N. M.,9.1,02 Sep 2017,"Nice place, very close from beach. We enjoy here but I think need much any choice for breakfast. But all it's ok. Nice",abian harmony hotel,Bali
Marcel S.,8.7,14 Aug 2017,The value for money hotel does a good job providing service accordingly. Close to Sanur beach within 5 minutes walking. Did not try the breakfast or any meal though. I would rate this hotel 7 out of 10. Must try if you are looking for a budget hotel.,abian harmony hotel,Bali
jonathan w.,9.4,08 Aug 2017,"A cozy, affordable and great location",abian harmony hotel,Bali
Slamet R.,9.1,31 Jul 2017,"Good to you and family, near sanur beach",abian harmony hotel,Bali
sarwendah,8.4,07 Jul 2017,"Actually I like the room and the hotel location also strategic and near beach, but unfortunately the room i've smells so bad. it's really hard to breath and I have to open the veranda door to let the air out for 2 nights and thats why make me want to hurry and leave the hotel",abian harmony hotel,Bali
Elsa L. D.,8.5,05 Jun 2017,"A comfortable, clean place and great location.",abian harmony hotel,Bali
Jessica X.,10,29 Sep 2017,"The room very big, swimming pool clean and there was kids room for my baby to playing",abian harmony hotel,Bali
Ayu S. I.,9.1,24 Sep 2017,Thank you for the great smile and lovely french toast!,abian harmony hotel,Bali
Shelly I.,6.1,06 Sep 2017,"Small restaurant, outside staff closer to parking area very annoyed and looks like monster when ask tips with his fierce face....unbeliavable hotel employ such monster...our room unlucky located just 2nd floor close to security area which sometimes noise come...room actually big and nice...hope they fix that problems",abian harmony hotel,Bali
Maria K.,10,05 Sep 2017,Homey clean good location and nice food around the area,abian harmony hotel,Bali
Chrysta N. M.,9.1,02 Sep 2017,"Nice place, very close from beach. We enjoy here but I think need much any choice for breakfast. But all it's ok. Nice",abian harmony hotel,Bali
Marcel S.,8.7,14 Aug 2017,The value for money hotel does a good job providing service accordingly. Close to Sanur beach within 5 minutes walking. Did not try the breakfast or any meal though. I would rate this hotel 7 out of 10. Must try if you are looking for a budget hotel.,abian harmony hotel,Bali
jonathan w.,9.4,08 Aug 2017,"A cozy, affordable and great location",abian harmony hotel,Bali
Slamet R.,9.1,31 Jul 2017,"Good to you and family, near sanur beach",abian harmony hotel,Bali
sarwendah,8.4,07 Jul 2017,"Actually I like the room and the hotel location also strategic and near beach, but unfortunately the room i've smells so bad. it's really hard to breath and I have to open the veranda door to let the air out for 2 nights and thats why make me want to hurry and leave the hotel",abian harmony hotel,Bali
Elsa L. D.,8.5,05 Jun 2017,"A comfortable, clean place and great location.",abian harmony hotel,Bali
Shinta S.,7.1,05 Mar 2017,"Great location, should improve cleanliness which could make the hotel more comfortable",abian harmony hotel,Bali
Yudi H.,8.8,26 Feb 2017,So far so good.....,abian harmony hotel,Bali
Angelica S.,8.5,13 Feb 2017,It was great! The restaurant is unique and the room is large.,abian harmony hotel,Bali
Riska A. D.,8.5,23 Jan 2017,All is good the staffs are friendly I like the place,abian harmony hotel,Bali
Untung S.,7.5,22 Jan 2017,"Air conditioning wasn't cool at al, would be great if the workers have more smile. Unfortunately 3rd level has no lift.",abian harmony hotel,Bali
Ida A. S.,10,14 Jan 2017,"Very nice, am very happy stay at Abian harmony hotel.",abian harmony hotel,Bali
Rahardian W. N.,9.4,Profil ini privat.,"Nice, clean, good hospitality.",abian harmony hotel,Bali
Decy M.,9.7,08 Jan 2017,Nice place... Good service. I will back,abian harmony hotel,Bali
Jitwadee B.,8.8,08 Jan 2017,Everything it's ok staff was great!!!,abian harmony hotel,Bali
Hery A. H.,9.1,02 Jan 2017,Services very good...,abian harmony hotel,Bali
Shinta S.,7.1,05 Mar 2017,"Great location, should improve cleanliness which could make the hotel more comfortable",abian harmony hotel,Bali
Yudi H.,8.8,26 Feb 2017,So far so good.....,abian harmony hotel,Bali
Angelica S.,8.5,13 Feb 2017,It was great! The restaurant is unique and the room is large.,abian harmony hotel,Bali
Riska A. D.,8.5,23 Jan 2017,All is good the staffs are friendly I like the place,abian harmony hotel,Bali
Untung S.,7.5,22 Jan 2017,"Air conditioning wasn't cool at al, would be great if the workers have more smile. Unfortunately 3rd level has no lift.",abian harmony hotel,Bali
Ida A. S.,10,14 Jan 2017,"Very nice, am very happy stay at Abian harmony hotel.",abian harmony hotel,Bali
Rahardian W. N.,9.4,Profil ini privat.,"Nice, clean, good hospitality.",abian harmony hotel,Bali
Decy M.,9.7,08 Jan 2017,Nice place... Good service. I will back,abian harmony hotel,Bali
Jitwadee B.,8.8,08 Jan 2017,Everything it's ok staff was great!!!,abian harmony hotel,Bali
Hery A. H.,9.1,02 Jan 2017,Services very good...,abian harmony hotel,Bali
Jitwadee B.,9.1,31 Dec 2016,"Nice and clean hotel, easy to walk and shopping around Sanur.",abian harmony hotel,Bali
Elsuhan,9.1,15 Dec 2016,"Value for money, all the staff are very helpfull and friendly.",abian harmony hotel,Bali
Arsdiana D. P.,8.5,30 Nov 2016,"good location, nice meal, nice staff",abian harmony hotel,Bali
Tarry,6,17 Oct 2016,Bad staff. Bad room. Bad internet. Bad TV channel,abian harmony hotel,Bali
Yohan T.,9.7,08 Jul 2016,Their staff is super awesome. They really like to help and make sure you get all the best from them.,abian harmony hotel,Bali
Rendy R.,6,29 Jan 2023,Don't stay here it's unclear.,abian harmony hotel,Bali
Gisa A. P.,8.5,03 Nov 2022,"The staff are all very friendly, the facilities are okay. No brush+toothpaste available.",abian harmony hotel,Bali
Achmad F.,9.7,11 Aug 2022,"For 3 days 2 nights staying here the service is super duper good, hehe all the staff are friendly, very very helpful in any case, and very friendly. Order a regular room, you get an upgrade from the hotel because you bring a baby. It was just a bit troublesome at first because it was the wrong room, but everything could be resolved immediately after a set. With low prices and good facilities and services, next time you go to Bali and have plans to go to Nusa Penida, you can stay here. Recommended if you are looking for a budget hotel and if you want to go to Nusa Penida you can take a motorbike for 10-15 minutes. Keep up the good work 👍",abian harmony hotel,Bali
Fatimah N.,6.7,31 Jul 2022,"The elevator didn't work, so the upgrade was looking for a room on the floor. 1 automatically becomes more expensive. The breakfast is also not a buffet, just made to order, it's not cool. The orange small pillow needs to be washed so it doesn't smell too musty. Wifii okay, swimpool okay.",abian harmony hotel,Bali
Alvin J.,6,12 Jul 2022,The rooms and facilities are a bit smelly.,abian harmony hotel,Bali
Jitwadee B.,9.1,31 Dec 2016,"Nice and clean hotel, easy to walk and shopping around Sanur.",abian harmony hotel,Bali
Elsuhan,9.1,15 Dec 2016,"Value for money, all the staff are very helpfull and friendly.",abian harmony hotel,Bali
Arsdiana D. P.,8.5,30 Nov 2016,"good location, nice meal, nice staff",abian harmony hotel,Bali
Tarry,6,17 Oct 2016,Bad staff. Bad room. Bad internet. Bad TV channel,abian harmony hotel,Bali
Yohan T.,9.7,08 Jul 2016,Their staff is super awesome. They really like to help and make sure you get all the best from them.,abian harmony hotel,Bali
Rendy R.,6,29 Jan 2023,Don't stay here it's unclear.,abian harmony hotel,Bali
Gisa A. P.,8.5,03 Nov 2022,"The staff are all very friendly, the facilities are okay. No brush+toothpaste available.",abian harmony hotel,Bali
Achmad F.,9.7,11 Aug 2022,"For 3 days 2 nights staying here the service is super duper good, hehe all the staff are friendly, very very helpful in any case, and very friendly. Order a regular room, you get an upgrade from the hotel because you bring a baby. It was just a bit troublesome at first because it was the wrong room, but everything could be resolved immediately after a set. With low prices and good facilities and services, next time you go to Bali and have plans to go to Nusa Penida, you can stay here. Recommended if you are looking for a budget hotel and if you want to go to Nusa Penida you can take a motorbike for 10-15 minutes. Keep up the good work 👍",abian harmony hotel,Bali
Fatimah N.,6.7,31 Jul 2022,"The elevator didn't work, so the upgrade was looking for a room on the floor. 1 automatically becomes more expensive. The breakfast is also not a buffet, just made to order, it's not cool. The orange small pillow needs to be washed so it doesn't smell too musty. Wifii okay, swimpool okay.",abian harmony hotel,Bali
Alvin J.,6,12 Jul 2022,The rooms and facilities are a bit smelly.,abian harmony hotel,Bali
Agnes S.,8.5,04 Jul 2022,"The accommodation is very clean, the staff is friendly and the food is delicious.",abian harmony hotel,Bali
Galahitiyawa B. R. T. G.,6.7,11 Jun 2022,"Came around 6 pm to check-in, even though I booked in advance but they said the room for the double bed was out. I asked for the twin beds to be made into one but housekeeping only moved the bed, it was cured with a good breakfast, fortunately.",abian harmony hotel,Bali
Agustina N. S.,6.5,18 May 2022,"I like the motif of the bed, it has batik. Paintings are also not living creatures. Location close to the beach. Enough with the walk. The drawback is that the toilet water is dead, when you first started using it, luckily the shower water was still alive, you can still use it. Too bad I couldn't brush my teeth and toothpaste because I forgot to bring it too. Lots of ants, and the balcony area is quite dirty. The choice between awesome and unsatisfying is confusing to me. Because my judgment is in between. Ordinary. But also not so disappointing.",abian harmony hotel,Bali
Melany Y.,6,03 May 2022,"AC is not cold,. The exhaust fan is not in the bathroom, the phone to the receptionist can't say the PABX is dead.",abian harmony hotel,Bali
ni putu e. s.,5.2,17 Apr 2022,"Just entered the room was served with a leaky toilet (water pooled around the toilet + smelled). Complaints to fo in fix +- 15 minutes. Several hours passed, the room smelled like a stale. After I checked ""ehh ehh there is trash used for iced tea under the sofa"" (photo attached). Complaints to the new fo are cleaned by the HK. I came back and accidentally saw, there was trash bottle caps under the table next to the sofa that had not been cleaned. I'm too lazy to complain. I'm just surprised, before the room is given to the guest, please check the cleanliness first. The swimming pool is oily, the facilities in the room are a lot of dust (couch, table, balcony).",abian harmony hotel,Bali
Mariana s.,5.7,20 Mar 2022,"At the time of check-in I did not feel the hospitality of the staff who served me, unfriendly and impolite in speaking, I really regret that such a good hotel got unsatisfactory service. Overall the other staff are very friendly, greet and smile. Okay facilities.",abian harmony hotel,Bali
retno w.,5.5,18 Mar 2022,"Bring the baby to the 3rd floor. And the elevator is dead, it says an error. Have to go up and down stairs. The flush is problematic. And the worst thing is, when you ask how much is the hotel booking price. As long as I checked in, this was the first time I was asked. I swear it's rude.",abian harmony hotel,Bali
Razza R. H. R.,5.8,21 Jan 2022,We have paid in advance and then the hotel asked for an additional fee. And the system is changing.,abian harmony hotel,Bali
Ricardo S.,5.1,11 Jan 2022,"Bad service, smelly rooms, stay time is not suitable for only 5 hours.",abian harmony hotel,Bali
Siti K.,6,05 Jan 2022,"I ordered for 2 rooms. The first time I entered the room the smell of cigarettes, the bathroom door handle was both broken. Sheets and pillowcases musty as if not replaced. The hotel is not maintained a lot of dust and garbage everywhere. Hotel staff is also not friendly. It's cheap but not worth it at all.",abian harmony hotel,Bali
Agnes S.,8.5,04 Jul 2022,"The accommodation is very clean, the staff is friendly and the food is delicious.",abian harmony hotel,Bali
Galahitiyawa B. R. T. G.,6.7,11 Jun 2022,"Came around 6 pm to check-in, even though I booked in advance but they said the room for the double bed was out. I asked for the twin beds to be made into one but housekeeping only moved the bed, it was cured with a good breakfast, fortunately.",abian harmony hotel,Bali
Agustina N. S.,6.5,18 May 2022,"I like the motif of the bed, it has batik. Paintings are also not living creatures. Location close to the beach. Enough with the walk. The drawback is that the toilet water is dead, when you first started using it, luckily the shower water was still alive, you can still use it. Too bad I couldn't brush my teeth and toothpaste because I forgot to bring it too. Lots of ants, and the balcony area is quite dirty. The choice between awesome and unsatisfying is confusing to me. Because my judgment is in between. Ordinary. But also not so disappointing.",abian harmony hotel,Bali
Melany Y.,6,03 May 2022,"AC is not cold,. The exhaust fan is not in the bathroom, the phone to the receptionist can't say the PABX is dead.",abian harmony hotel,Bali
ni putu e. s.,5.2,17 Apr 2022,"Just entered the room was served with a leaky toilet (water pooled around the toilet + smelled). Complaints to fo in fix +- 15 minutes. Several hours passed, the room smelled like a stale. After I checked ""ehh ehh there is trash used for iced tea under the sofa"" (photo attached). Complaints to the new fo are cleaned by the HK. I came back and accidentally saw, there was trash bottle caps under the table next to the sofa that had not been cleaned. I'm too lazy to complain. I'm just surprised, before the room is given to the guest, please check the cleanliness first. The swimming pool is oily, the facilities in the room are a lot of dust (couch, table, balcony).",abian harmony hotel,Bali
Mariana s.,5.7,20 Mar 2022,"At the time of check-in I did not feel the hospitality of the staff who served me, unfriendly and impolite in speaking, I really regret that such a good hotel got unsatisfactory service. Overall the other staff are very friendly, greet and smile. Okay facilities.",abian harmony hotel,Bali
retno w.,5.5,18 Mar 2022,"Bring the baby to the 3rd floor. And the elevator is dead, it says an error. Have to go up and down stairs. The flush is problematic. And the worst thing is, when you ask how much is the hotel booking price. As long as I checked in, this was the first time I was asked. I swear it's rude.",abian harmony hotel,Bali
Razza R. H. R.,5.8,21 Jan 2022,We have paid in advance and then the hotel asked for an additional fee. And the system is changing.,abian harmony hotel,Bali
Ricardo S.,5.1,11 Jan 2022,"Bad service, smelly rooms, stay time is not suitable for only 5 hours.",abian harmony hotel,Bali
Siti K.,6,05 Jan 2022,"I ordered for 2 rooms. The first time I entered the room the smell of cigarettes, the bathroom door handle was both broken. Sheets and pillowcases musty as if not replaced. The hotel is not maintained a lot of dust and garbage everywhere. Hotel staff is also not friendly. It's cheap but not worth it at all.",abian harmony hotel,Bali
Hidayat M.,5.2,03 Jan 2022,"There is no bed cover, no toiletries, not friendly, the air conditioner is not cold, the room smells",abian harmony hotel,Bali
I Made E. S.,9.4,02 Jan 2022,"I stayed on New Year's Eve. Friendly frontline, clean rooms, but maybe aromatherapy can be added. Access to the beach is very close from the hotel.",abian harmony hotel,Bali
Elisa K.,9.4,24 Dec 2021,Super friendly service. Unfortunately no blanket. And the staff is still lacking if we need something we have to find where the staff is but so far the service is very good.,abian harmony hotel,Bali
Rina A. D.,8.5,19 Mar 2020,"Our room was upgraded, spacious room, good service, clean bathroom, use a removable shower.",abian harmony hotel,Bali
